cwn.Synset('團.4') 計算聚集在一起從事特定活動的人的單位。 兩<團>的巡迴演唱地點，都包括日本、台灣及亞洲等地。
cwn.Synset('車.6') 開放式用於乘載或放置物品的有輪子的工具。 請父母或保母，不要讓十個月以內的小朋友利用學步<車>或螃蟹<車>學走路。
cwn.Synset('小學.1') 進行正式基礎教育中最初階段的學校。 他曾結過婚，有一現讀<小學>四年級的兒子。
cwn.Synset('小學.2') 研究聲韻、文字和訓詁的學問。 漢代的<小學>家多為經學家，其研究<小學>的目的實為「通經致用」。
cwn.Synset('軌.0') 由條狀物鋪成的供火車或電車等交通工具在上行駛的路徑。 一名男子躺在火車<軌>上自殺，他身上的遺書說火車<軌>上有炸藥。
cwn.Synset('軍.0') 下象棋時，捕捉對方的將棋或帥棋的事件。 你吃了他的砲，將他一<軍>！
cwn.Synset('軸.1') 計算有捲軸的書畫作品的單位。 書三千<軸>。
cwn.Synset('軸.2') 貫穿輪型物的中心，控制轉動的圓柱形桿。 在實驗車中，只以一鏈條直接將馬達<軸>之輸出動力傳至後輪。
cwn.Synset('立委.0') 臺灣民選的中央公職人員，代表人民行使立法權。 民進黨<立委>為沈富雄醫師遭情治系統羅織案臨時提案，新國民黨連線<立委>則以干涉司法反駁。
cwn.Synset('夢.0') 睡眠時腦部活動所產生的記憶與知覺。 為什麼<夢>中的妳都穿紅衣服？
cwn.Synset('夠.0') 形容滿足，可以。 換另外一個角度看，我覺得有你就<夠>了。
cwn.Synset('大.3') 在眾多名配偶或情人中，名義上排第一的。 我常在想，一堆女人爭著做<大>的，為什麼要當<大>的，當<大>的所擁有的並不會比較多啊！
cwn.Synset('太.0') 形容後述尊稱謂再往上一輩的。 林克恭先生是台灣首位留英的前輩畫家，亦是我油畫老師的老師，應算是<太>師傅。
cwn.Synset('夫.1') 對女子在婚姻關係中的配偶的指稱。 你不要胡鬧好不好？人家是有<夫>之婦哇。
cwn.Synset('天.2') 在特定區域和時間內，多種氣象要素綜合顯示的大氣狀況。 注意保暖：尤其<天>冷時，對四肢手腳的保暖，要特別小心。
cwn.Synset('失.1') 沒有在後述事件發生的時間或在後述物體出現的地點把握住該事件或物體。 銀邊玉葉等品種達二十多種，本省養蘭專家勿<失>良機。
cwn.Synset('夷.0') 中國古代對中原以外民族的輕蔑稱呼。 迨孔子作春秋，嚴<夷>夏之辨，中華民族的民族主義乃益彰。
cwn.Synset('求饒.0') 以低姿態希望對方原諒。 他眼睜睜看著帶他長大的祖父，跪在地上<求饒>不成，讓叛軍亂槍打死。
cwn.Synset('各自.0') 表前述個體獨立進行後述事件。 兩人<各自>喝了兩杯熱茶。
cwn.Synset('夏.2') 五胡十六國之一，西元406至西元431年，由赫連勃勃所建立。 吐谷渾乘軍隊渡河之機派強兵猛攻，擊潰其軍，生擒赫連定，滅<夏>國。
cwn.Synset('電話.0') 由數字構成，代表特定電話線路的系統。 我的<電話>是三二一三三一四，平常晚上九點以後，我會在家。
cwn.Synset('外.1') 人所展現出來的形象。 自我是在內而不是在<外>的。在<外>的只是自我的表現。
cwn.Synset('外.3') 工作或事業。 因為我們中國就是......從五千年來就是男主<外>女主內。
cwn.Synset('夕.0') 太陽開始下山到天黑前的時間。 情侶以不同姿勢坐在欄間賞<夕>。
cwn.Synset('多.5') 表比預期程度更強。 李文秀道：「放了牠吧，你瞧牠<多>可憐？」
cwn.Synset('夙.0') 天剛亮到八、九點的時間。 <夙>晨下所綻放的影子，雨紛飛，那是我想你的眼淚。清晰的思念縈繞在我身邊。
cwn.Synset('碳.0') 化學元素之一，化學符號為C。 仰韶文化經<碳>十四測定距今約六千年；商化建國於西元前十六世紀。
cwn.Synset('率同.0') 帶領後述對象一起做特定事件。 最近民進黨人士<率同>香山地區校地徵收戶到市府抗爭並丟雞蛋。
cwn.Synset('新竹市.0') 位於臺灣西北部，1982年升格為省轄市。 位在<新竹市>中央路一五號的舊縣長公館，都市計劃變更成為選戰話題。
cwn.Synset('從頭.0') 最初。 何以唯獨在英國發展出獨特的飲茶文化？細數<從頭>，天時人和的原因當然很多。
cwn.Synset('琴.0') 樂器名，以特定方式震動琴弦而發出聲音的中國傳統樂器的統稱。 江南三月，柳浪聞鶯，文人雅士紛紛執杖攜<琴>、訪友探春。
cwn.Synset('琴.1') 樂器名，特定鍵盤樂器、弦樂器、敲擊樂器等譯名以琴結尾的西洋樂器的統稱。 直到1784年去世之前，他一直都在威尼斯製<琴>。
cwn.Synset('得知.0') 獲得訊息。 國內旅港澳僑胞，前晚從晚間電視新聞報導中，<得知>此項喜訊。
cwn.Synset('王永慶.0') 臺灣當代企業家，臺塑集團創辦人。 <王永慶>只有國小畢業而已，卻成了了不起的企業家。
cwn.Synset('生計.0') 生活的維持。 工人為維<生計>，有的擺地攤。有的只好重回股市賭賭運氣。
cwn.Synset('內子.0') 對他人稱自己的妻子。 <內子>與本人得以重回康大美麗校園，心中確是頗為愉快。
cwn.Synset('前往.0') 比喻朝後述事件目標去。 我是單純的高中生！努力<前往>目標！
cwn.Synset('前後.1') 表事件從開始到結束的時段。 這部書共計五十二萬多字，<前後>耗去了他十三年的生命。
cwn.Synset('理.3') 大學中教授物理知識的教學研究單位。物理系所的簡省。 第一次「雙十校友餐會」，就在程知方學長（<理>89級）、吳華書學長（材料90級）、邱宗勇學長（原科93級）、陳洸艟學長（輻生95級）、陳建瑞教授、周卓煇教授與大家的熱烈參與下圓滿結束。
cwn.Synset('街頭.0') 供人車通行的地方的空間範圍內。 近幾年來，婦女團體已開始走上<街頭)>爭取自身的權益。
cwn.Synset('球.0') 以圓的半徑為軸，使旋轉一周而成，且由中心至表面各點距離皆相等的立體。 他在花園玩兒，把<球>拋到一個小樓上去了，就叫薛湘靈去撿<球>。
cwn.Synset('頁.0') 計算書冊、文件面數的單位。 他們第一部心血成果，五冊三千多<頁>的金剛經將付梓出版。
cwn.Synset('米蟲.0') 指沒有工作、依靠父母經濟支援過活的人。 我家那隻<米蟲>，畢業後整天在家不出門也不幹活，真是令人擔心。
cwn.Synset('河南.0') 位於黃河南岸的一省。介於湖北省與陝西省之間。 安徽、甘肅、<河南>是三大災難省。
cwn.Synset('出.1') 在牌類或划拳遊戲中展示自己的牌或特定手勢以定輸贏。 他<出>的是布。
cwn.Synset('出.6') 用在動詞之後，表示前述動作完成或實現並得到結果。 即使在朦朧的月光下，也看得<出>是座殘垣斷瓦搖搖欲墜的危樓。
cwn.Synset('凹.0') 向特定對象要求不應該屬於自己的東西。 在這種節日遲到的人真不文明，等會跟他<凹>點補償吧？
cwn.Synset('前所未有.0') 形容從過去到現在沒有發生過的。 變革浪潮帶給企業<前所未有>的衝擊和變數。
cwn.Synset('作為.0') 具有特定意義或為達特定目標所做的行為。 當選人中僅有陳代表潤洲連任，其他都是新人崛起，想必有一番新氣象、新<作為>。
cwn.Synset('拿.0') 提供金錢或其他有價值物給後述對象。 最離譜的是一位國小五年級的男生，父親為了要洗三溫暖，<拿>錢叫他在電玩店內玩。
cwn.Synset('拿.1') 提出處理事情的方法或對策。 大家幫忙<拿>個主意吧!
cwn.Synset('凶.3') 比喻對特定事件造成嚴重負面結果的特定對象。 乾旱噩夢全球暖化是主<凶>。
cwn.Synset('有成.0') 形容在付出努力後獲得的成就為眾人肯定的。 她們家很團結，在父母的管教下，兒女個個<有成>。
cwn.Synset('凡.1') 人所居住的地方，即凡間。 樵夫愛上了河邊戲水的仙女，但仙<凡>路隔，終究也只是夢一場。
cwn.Synset('几.0') 矮小且沒有抽屜的桌子。 於床頭<几>上擺放一盆室內植栽，營造臥室內的綠意，符合春天氣息，同時呼應窗外與室內的漸層色彩表現。
cwn.Synset('仍然.0') 表動作或情況持續不變。 某公司的總經理下班後，<仍然>留在公司加班，日子過得忙碌不堪。
cwn.Synset('隔山.0') 表間接。 議會為了爭產與護產，動作頻仍，不是「<隔山>」放炮，就是當面唇槍舌劍，甚且對簿公堂，雙方都做到公職人員應盡的職責，不負選民所託。
cwn.Synset('興趣.0') 喜好並想要深入瞭解特定對象的感覺。 那時英國因為獎學金很少，有<興趣>留英的人並不多。
cwn.Synset('凍.2') 因溫度低於冰點或接近冰點的狀態而使後述對象感覺到非常冷。 放學後和汪勤他們去大方吃冰，幾個人手<凍>得紫紫的還是樂此不疲。
cwn.Synset('凌.1') 剛過了午夜，但天尚未亮的時間。 十幾年來，這家旅館從不曾<凌>兩點還燈火通明。
cwn.Synset('凌.2') 特定物體或光影近距離出現在特定對象的上方。 因為對方神劍前所未見，簡直看花了眼，猛覺寒光<凌>體，才知不妙。
cwn.Synset('廣播.0') 廣播傳送的內容。 禁菸<廣播>播出不久，就不再繼續了。
cwn.Synset('會談.0') 醫生與病人深入討論以瞭解病情。 醫師與阿泰<會談>後，認為他目前祇是對那位男生單戀而已，並沒有同性戀行為。
cwn.Synset('外國.1') 形容非屬於說話者所屬的國家的。 梁胡雪姬透露，她們公司新進階層中，百分之六十拿<外國>護照。
cwn.Synset('海魚.0') 生長在海中的魚。 海豚是有「靈性」的哺乳類動物，人類實在不應該把牠們當作一般的<海魚>來捕殺。
cwn.Synset('頷.0') 律詩中第三、四兩句。 兩首詩的<頷>、頸聯皆有對仗。
cwn.Synset('草率.0') 形容做事態度隨便，不周全。 有些人一遇到困境便急躁起來，衝動<草率>行事，往往造成更多困擾。
cwn.Synset('天啊.0') 表祈求、驚訝或憤怒的語氣，原意為對天祈求。 <天啊>！這就是台灣人日夜期待的祖國嗎？
cwn.Synset('利息.0') 借貸或存款事件中依照本金的一定比例所增加的金額。 還款期限愈短，貸款人所須負擔的<利息>愈少。
cwn.Synset('功能.1') 特定對象在主要用途之外使用時的特定目的。 苗栗地區最近興起一股棒球旋風，具有多重正面<功能>，值得大力推展。
cwn.Synset('一路.1') 表事件的整個過程，方向或特性沒有改變。 想自己求學如搭順風車，<一路>滑向研究所，沒遭遇過大挫折。
cwn.Synset('雞巴.0') 指女性生殖器。粗俗用語。 誰想要吃你的臭<雞巴>？洗洗睡吧你！
cwn.Synset('介紹.0') 用來使人瞭解或熟悉特定對象的訊息內容。 喜歡水上活動的小朋友，看了這篇滑水的<介紹>，是否感覺涼爽多了呢？
cwn.Synset('賴以.0') 依靠前述對象做後述事件。 無可否認，錢是一個人<賴以>維生的因素。
cwn.Synset('個人.0') 單獨一人。 生活在團體中的<個人>，自然有許多應該遵循的道德規範。
cwn.Synset('家祖.0') 代指說話者的祖先。 這是把通靈的寶刀，<家祖>曾說過有趟遇賊來襲，這把刀竟響個不停來示警哩！
cwn.Synset('通識.0') 形容跨領域的知識。 「大學教育<通識>化、研究所專業化，已是共識，」政大商學院院長吳思華說。
cwn.Synset('傷腦筋.0') 為特定事件費心思。 全世界都在為市場經濟<傷腦筋>，每個國家的元首如果沒有把經濟搞好，就不要想當總統。
cwn.Synset('狹義.0') 範圍比較狹窄的定義。 就<狹義>而嚴格的移民意願定義來看臺灣的「移民潮」的確不足為怪。
cwn.Synset('照例.0') 表依照慣例。 在那個兒童時間裡，館內<照例>播出一部短短的影片，叫做動物世界。
cwn.Synset('禪宗.0') 大乘佛教宗派之一，以菩提達摩為始祖，靜坐冥想為其修行方法。 <禪宗>講平常心，即淡泊自然。
cwn.Synset('必需.0') 形容前述對象一定要仰賴後述事件。 酒是一種古老的嗜好品，也是生活當中<必需>的東西。
cwn.Synset('這般.0') 代指與說話者認知較吻合的事件。 胡適想萬人如海一身藏，跑到紐約<這般>大城市就可以藏身了。
cwn.Synset('長程.1') 形容需要長時間完成的。 面對「實質的正義」的概念與需求，而嶄新的、<長程>的司法改革道路，也應由此思索！
cwn.Synset('發揚光大.0') 使特定對象的發展更加興盛。 父親程祿繼承衣缽，傳到第三代，也只有他願意學習，且還<發揚光大>，成為台地最重要的布馬團。
cwn.Synset('爰.0') 特定對象使事件情況與原來的不同。 少<爰>居永興，躬自墾田，種稻二十餘畝。
cwn.Synset('狹隘.0') 形容寬度窄小，難以通行。 指南路上因為政大學生機車停放，造成指南路愈形<狹隘>。
cwn.Synset('詹天佑.0') 十九二十世紀中國鐵道工程專家，曾參與中國最早自造的鐵路工程，歷任京張鐵路、粵漢鐵路總工程師，字眷誠。 婺源的名人更是不勝枚舉，其中最著名的當屬理學大家朱熹與鐵路之父<詹天佑>。
cwn.Synset('切實.0') 形容真實。 墮胎，娼妓和胚胎研究這類題目如果沒有<切實>的個案只會淪為空中畫餅。
cwn.Synset('加諸.0') 前述事件在後述對象上實現。 為什麼要把這些不愉快的經驗，<加諸>在自己小孩身上呢？
cwn.Synset('經歷.0') 特定時段裡的工作經驗和教育狀況。 我憑著在臺灣IBM工作十年的<經歷>，詢問能否進入雪梨分公司？
cwn.Synset('危機.1') 面臨立即而重大威脅的時間點。 工作室為解決財務<危機>，正進行捐畫義賣活動。
cwn.Synset('專程.0') 表專為特定目的而到特定地點。常接位移動詞。 有一位修女和神父，他們<專程>來參觀慈濟醫院，了解慈濟所做的事情。
cwn.Synset('定為.0') 以語言文字制定出的內容是後述內容。 針對白色情人節推出的sg4000手機定價<定為>8800元。
cwn.Synset('進取.0') 形容追求進步。 書中只有樂觀<進取>的信念，沒有一句怨天尤人的話語。
cwn.Synset('熱血.0') 新鮮血液。 兵士們在戰場上拋頭顱、灑<熱血>，為國捐軀，保衛疆土。
cwn.Synset('澎湖.2') 縣名，位於臺灣海峽，由多個大小島組成，最大島為澎湖島。 <澎湖>古沉船現形，只是解開汪洋海底祕密的一個開端。
cwn.Synset('優惠.0') 在不同待遇中得到的好處。 交寄滿三件，送黑貓杯一個<優惠>。
cwn.Synset('洗.3') 用前述液體或稠狀物潑灑到後述對象上，通常作為破壞手段。 債主屢次上門追討無果，今天率大批人馬，前往拉白布條抗議，並帶著大批雞蛋，準備蛋<洗>醫院。
cwn.Synset('不會.0') 提醒語。用於表達對於他人的請求樂意幫忙，不覺得麻煩。 <不會>，<不會>，快別這麼說。
cwn.Synset('永續.0') 表永遠維持進行不中斷。 哪個企業人才越多越齊備，其企業就可<永續>的不衰。
cwn.Synset('洞.1') 零，軍方、計程車業或無線電使用者等的行話。 高度保持飛航空層么拐<洞>，電碼么<洞>么<洞>，起飛後保持四千。
cwn.Synset('洋.1') 覆蓋地球表面的廣大水域，如太平洋、大西洋、印度洋。 <洋>面海水蒸發後，也會使<洋>面海水的鹽分濃度增加。
cwn.Synset('醫.3') 提供病患診治、醫療照顧及住院的醫療機構。 老年人大腸癌易被輕忽，署立屏<醫>提供免費篩檢。
cwn.Synset('洲.0') 河流中由沙石、泥土堆積成的陸地。 博物館島真的是一個島，是史沛河(DieSpree)河中的<洲>島。
cwn.Synset('醒.3') 形容比喻酒或茶的特性得到最好的發揮。 <醒>茶是製茶過程中不可少的步驟，主人家熟練的翻動著，一年四季都可以來品嚐阿里山特產好茶。
cwn.Synset('醜.0') 形容人或物的外表不好看，不具有美的特質。 有人說：「天下沒有<醜>女人，只有懶女人。」製造美麗並不難，就看你肯不肯花點功夫。
cwn.Synset('金牛座.1') 西洋十二星座之一，四月二十三日至五月二十二日之間出生者的命宮。 B型-<金牛座>的人，可說是極『悠閒的人』。
cwn.Synset('活.0') 形容火山斷層正在進行地質活動或有立即產生地質活動的潛力的。 震源附近東西約60公里，南北約八十公里的區域內有十九處的<活>斷層。
cwn.Synset('派.1') 一種外殼酥脆並包有內餡的西式點心。為英語pie的音譯。 鮮奶油、奶精可用在布丁、<派>、熱巧克力、水果、果凍、甜點上。
cwn.Synset('下鍋.0') 烹調時把食物放進鍋內。 炒青菜時，一定要把青菜洗淨後的水份濾乾才能<下鍋>。
cwn.Synset('人民日報.0') 中華人民共和國的主要官方報社，西元一九四八年在北京創刊。 <人民日報>不過是執行中共中央的指示，充當喉舌而已。
cwn.Synset('至少.0') 表最低程度範圍。 迷信科學<至少>好過迷信玄學。迷信西醫<至少>優於迷信郎中。
cwn.Synset('大陸.0') 地表上的廣大陸塊。 凱爾特人的傳統節日，後來隨移民傳至美洲<大陸>，在美洲<大陸>被發揚光大。
cwn.Synset('娘兒們.0') 指女子。 那群<娘兒們>吱吱喳喳聊個不停，真是吵死了。
cwn.Synset('蘭.1') 臺灣地名，位於臺灣東北部，介於臺北縣和花蓮縣之間的地區。 全國大專<蘭>友會是個古老的校友會組織，至今已營運將近18個年頭。
cwn.Synset('同學.3') 對不熟識的可能是在學年齡的對象的稱呼。 樓下那位西瓜<同學>可別隨便搭訕帥哥。
cwn.Synset('破壞.0') 違反後述規範。 他曾經為了擴充自己的權力，而<破壞>了憲政常軌。
cwn.Synset('蘇.0') 國名，包括現在的俄羅斯、烏克蘭等共和國，已於西元1991年解體。 自蘇聯進口金額也達三千七百二十萬美元，我國對<蘇>貿易首度出現順差。
cwn.Synset('對面.0') 指生物或物體所在處正面朝向的位置。 這棟大樓的<對面>就有超市和傳統市場，住在這裡可以說是相當方便。
cwn.Synset('其餘.0') 整體中除去前文的部份，指剩下的部份。 除此之外，<其餘>的東西都是公家的。
cwn.Synset('頗喝.0') 嘲諷人事物不可理喻或是蠢笨。 感覺樓主<頗喝>，想要求福利卻又不想盡義務，既然都要辭職了，又要請什麼產假？
cwn.Synset('摩.0') 特定物體頂貼其他物體表面來回運動。 與異性相互的<摩>胸擦臀，加速了血液的狂流。
cwn.Synset('素材.0') 作品裡所使用到的材料。 這個網站提供了許多免費的圖片<素材>，網頁設計者可自由下載、使用。
cwn.Synset('摺.0') 將特定物體的其中一部份翻面，並和其他部份重疊在一起。 老師示範如何<摺>衛生紙並讓學生演練並教導學生上廁所要安靜，不能奔跑，不可喊叫。
cwn.Synset('摸.2') 偷特定物品，通常是物體很小，可以用手拿或偷的過程不費力。 以後我若是被小賊<摸>了荷包，一定找你報案。
cwn.Synset('摳.2') 用指甲、爪子或類似的工具去除物體表面的物質。 耳中有異物時，寶寶可能會因不舒服而猛<摳>耳朵。
cwn.Synset('輾轉.2') 表身體翻來覆去，無法好好睡覺。 午夜夢迴，我<輾轉>不能入眠。
cwn.Synset('龐.0') 形容量多而雜亂的。 在這個島上，有一些人的聲音幾乎被掩沒，他們的身影掩沒在<龐>亂紛擾的渾噩當中。
cwn.Synset('刻不容緩.0') 形容情勢十分緊迫，不能拖延。 提高產品競爭能力，無疑是<刻不容緩>的重要目標。
cwn.Synset('對調.0') 將兩個特定對象互換。 從今年開始，變成必須要和別組的同學<對調>，才能換組。
cwn.Synset('呵呵.0') 表笑聲。 蘇魯克<呵呵>笑了起來。
cwn.Synset('藉以.0') 承接前述作為工具或方法的事件，來達成後述目的。 許多日本企業紛紛轉移生產基地，<藉以>降低成本。
cwn.Synset('愛莫能助.0') 心裡願意幫助，但是力量做不到。 儘管了解養工處目前所處的困境，地政處官員卻<愛莫能助>。
cwn.Synset('肆.0') 表向所有的方向。 高山峻嶺，農人棄作的硬地，野草扎在龜裂的地面蠻氣<肆>竄。
cwn.Synset('摘.0') 折斷植物特定部分與母體間的連結，以取得該部分。 正是<摘>春茶的時節，有似母女二人在齊腰高的濃綠的茶叢中<摘>茶。
cwn.Synset('東京.0') 北宋時對開封的稱呼，今河南省省會，位於黃河南岸，為中國五大古都之一。 北宋時<東京>人口上百萬，富華甲天下。
cwn.Synset('東京.1') 日本的首都，位臨東京灣，為日本政治、經濟與交通中心。 他在香港住了一個多月，後來就坐飛機到<東京>去了。
cwn.Synset('摔.7') 柔道、摔角或武術中使對手跌倒的一種技巧動作。 反手<摔>：按住你的手掌背，你不倒地都不行。
cwn.Synset('摔.9') 比喻飛行器失事從空中墜落。 一旦飛機從天上<摔>下來，自己的後半輩子，可怎麼辦？
cwn.Synset('腰.5') 褲裙等衣物最上端用來束住腰部的部位。 這制服的褲子<腰>也太緊了吧！怎穿啊？
cwn.Synset('腳.4') 計算用腳部動作次數的單位。 這一<腳>踢得好重，使她腰裡腫起了一大塊。
cwn.Synset('腿.2') 人類和動物軀幹以下，下肢踝骨以上的部份，包括內部構造。 爆香蒜頭，將鵝<腿>放入翻炒，至鵝<腿>外皮略乾。
cwn.Synset('腸.3') 脊椎動物的消化器官，位於腹腔，上與胃相連，下通肛門，呈長管狀，主要有吸收水份及養份的功能。 種子為瀉劑，可療水氣脹滿、<腸>內積漬等。
cwn.Synset('課外.0') 形容正規學校系統課程以外的。 他今天把一本<課外>讀物，在一個禮拜內看完了。
cwn.Synset('應邀.0') 接受正式邀請。 巴黎羅浮宮博物館館長羅森柏格先生，<應邀>來臺訪問。
cwn.Synset('腦.1') 動物體中位於頭部，主管記憶、知覺、思考、運動等的器官。 大多數的醫生都認為肝臟是除了<腦>以外，人體功能最複雜的器官。
cwn.Synset('兩極.2') 太極圖中的陰極和陽極。 我走近一看，原來是一幅太極圖，陰陽<兩極>各以一支箭頭指著前後房間。
cwn.Synset('兩極.4') 電的正極和負極。 化學電池提供的電動是取決於不同的<兩極>，<兩極>間的電解液一方面傳遞電荷，一方面在參與化學變化終將化學能轉換成電位能。
cwn.Synset('腔.0') 比喻物體內的中空部份。 機械定時器控制，操作簡單，噴塗爐<腔>，豪華亮黑玻璃面板。
cwn.Synset('腕.1') 比喻具有前述性質的行事風格。 華府鐵<腕>整治拒注資，美兩大車廠隨時玩完。
cwn.Synset('腐.4') 豆漿煮開後，加入鹽滷或石膏使其凝結成塊，再除去部分水分而成的食品。 <腐>皮酥脆，餡鮮滑嫩，蝦味鮮香，是佐酒佳品。
cwn.Synset('技術.0') 形容內容具有相當多專業知識的。 國家元首出訪要怎麼走，是很<技術>的問題。
cwn.Synset('輕度.0') 形容程度較輕微的。 淡大現有十三位視障生、<輕度>聽障生一位。
cwn.Synset('腎.0') 動物的排泄器官之一，主要功能為將血液中的廢物轉換為尿液以排出。 嚴重的急性高血鈣會使人昏迷而死亡，慢性高血鈣會損害<腎>功能。
cwn.Synset('獎品.0') 為表揚或勉勵而贈送的物品。 他喜歡玩電腦，他替學校爭了好多的<獎品>跟獎狀。
cwn.Synset('纏身.0') 被不好的事物困擾煩惱，無法脫身。 將違法者移送法辦，卻惹來一堆官司<纏身>，原告成了被告。
cwn.Synset('舉起.0') 以手將東西由低處拿高至視線可及的地方。 她<舉起>酒杯，敬大家一杯酒。
cwn.Synset('有毒.1') 形容比喻對特定對象產生負面影響的。 blog這東西<有毒>，會上癮的。
cwn.Synset('有毒.2') 形容電腦感染到電腦病毒。 可能是你隨身碟<有毒>傳染給影印店的電腦。
cwn.Synset('深入到.1') 進入後述地點的深處或中心。 以軍坦克進一步<深入到>加沙地帶的主要城鎮。
cwn.Synset('之後.0') 位置或順序在另一物體的後面。 文藝大隊走在煤礦工人隊伍<之後>。
cwn.Synset('朋友.0') 互相熟識或有交情的人。 有一些<朋友>，有錢之後就像失去了追求的目標。
cwn.Synset('過往.0') 在參考點之前的時間所經驗的各種事件。 有些人質在恢復自由後，企圖忘掉這些可怕的經驗，將自己與這段<過往>一刀切斷，絕口不提。
cwn.Synset('翅.2') 飛行器兩側延伸出像昆蟲或鳥類翅膀的部份，具有支撐機身、產生升力等作用。 阿翔理也不理的站上斜插在土裡的機<翅>。
cwn.Synset('過後.0') 特定事件結束以後的時間。 在慶祝晚宴上，騎士有點鬱鬱寡歡。<過後>，他忘了擦亮他的盔甲。
cwn.Synset('游.1') 比喻往來交際。 校官弟子布衣行誼之士，亦百餘人，皆從先生<游>。
cwn.Synset('翼.0') 形狀像昆蟲或鳥類翅膀的物體。 他那蜻蜓<翼>的太陽鏡都把這個流浪漢的形象襯托的更真實。
cwn.Synset('灌輸.0') 灌注輸送。 試說明何謂全血<灌輸>。
cwn.Synset('翹.5') 中國傳統建築中，斗拱中與拱成直角或與建築物成直角的弓形木。 周圍有紅牆環繞，南牆正中有牌樓門一座，飾以單昂<翹>斗拱。
cwn.Synset('翻.7') 爬到牆壁等障礙物頂端改變面向後從另一端下來。 我超喜歡<翻>籬笆抄小路回家！
cwn.Synset('翻.11') 身體或肢體維持主軸轉向到完全改變原來的面向。 公子錦掌勢一<翻>，切開了對方的手。
cwn.Synset('鯨魚.0') 脊椎動物門哺乳綱目，用肺呼吸，胎生，鼻孔位於頭頂，常露出水面呼吸，為現今世界上最大的水生動物。 <鯨魚>和海豚不是魚，牠們跟人類一樣，是靠肺來呼吸空氣的哺乳類，牠們體內流動的是溫熱的血液。
cwn.Synset('穿越.0') 越過後述的障礙界線或沿著通道行進。 往返於新舊校區間需<穿越>數條馬路。
cwn.Synset('獻藝.0') 投注全部心力於藝術。 三個女兒連碰也不想碰，還有什麼辦法呢？對於一個終身<獻藝>的傑出藝師而言，薪火將斷顯然是他這生最大的難忍了。
cwn.Synset('孵化.1') 使卵生動物的受精卵在適合溫度及其它生長條件下發育成幼體。 海燕每次只產一個卵，經過39天到48天的<孵化>小鳥才會破殼而出。
cwn.Synset('下屬.0') 形容同一組織系統中，等級較低的。 鞍山鋼鐵公司<下屬>煉鐵廠的廠長陸達，由德國學成歸國，是冶金專家。
cwn.Synset('實體.0') 實際存在可通過觸、視、聽、嗅來覺知的物體。 <實體>通路與網路店鋪的大戰已經展開。
cwn.Synset('家鄉.1') 形容和主事者在同一個地方出生或成長的。 蔣介石一天到晚地用<家鄉>人，毛澤東把全國的人都用了。做事情，要有「天下人」的概念。
cwn.Synset('大西洋.0') 三大洋之一，世界上面積第二大的水域。 拉巴特的舊城位於布賴格賴格河入<大西洋>的出海口，也就是在拉巴特的西北角。
cwn.Synset('都.2') 以前述特質聞名的城市。 此地為西非海岸乃至全球降雨最多的地區之一，素有「非洲雨<都>」之稱。
cwn.Synset('午前.0') 中國時辰午時之前，即上午十一點之前。 科場蠟燭，臨睡照之，<午前>、子後，法最相宜。
cwn.Synset('午前.1') 正午十二點鐘以前，尤指八、九點到正午的時間。 郝龍斌請辭，「游」說無效，<午前>再遞辭呈。
cwn.Synset('打回票.0') 被拒絕而退回。 省府擬增設社會科環保科案被中央<打回票>，竹東鎮所擴大編制遂取消。
cwn.Synset('墨.0') 中國戰國時代思想家，提倡兼愛、非攻、節用，本名墨翟。 楊<墨>之道不息，孔子之道不著，是邪說誣民，充塞仁義也。
cwn.Synset('墨.1') 中國書法或繪畫時所使用的黑色顏料，通常由松煙或煤煙製成。 這一兩年來，睡覺前，母親都要在自己眉上塗<墨>。
cwn.Synset('墨.4') 國名，美洲中部的國家，位於美國與拉丁美洲之間。 美國國會甫通過北美自由貿易協定，大大增加了美加<墨>三國間的貿易機會。
cwn.Synset('給與.0') 除了本薪外附加的報酬。 以下附件為國軍官生個人主副時<給與>的計價標準。
cwn.Synset('墳.0') 埋葬死者的場所。 他已經八十五歲了。三個月前回到陝西鄉下老家祭父母的<墳>以一償宿願。
cwn.Synset('墾.1') 臺灣地名，位於恆春半島。 高、屏、<墾>三天兩夜六人行。
cwn.Synset('下臺.0') 結束表演，從臺上下來。 只要說得事理透徹，層次井然，臨場不要怕羞，講完從容<下臺>，如此多講幾回，也就不覺得難了。
cwn.Synset('路線.0') 比喻由前述特質所限定的抽象範圍。 但就通路的區分而言，這種方式走的仍是零售的<路線>，所以本研究不予區分，歸入零售部份一起探討。
cwn.Synset('俄羅斯.0') 主要分佈在歐洲東部和亞洲北部的一個民族，是俄羅斯聯邦的主體民族。 根據統計，共有7個民族的人口超過百萬，它們是<俄羅斯>、韃靼、烏克蘭、巴什基爾、楚瓦什、車臣和亞美尼亞。
cwn.Synset('境.1') 特定對象對生存空間物理特質的客觀感受。 盼望國人能在生態環境的維護上多盡心力，使這造物主的美麗傑作，長存寶島山<境>。
cwn.Synset('墊.1') 將特定物體填補在特定主體周圍的空間內，通常是為了使其加高、加厚或平整。 到了尾聲，這群女性觀眾已經推擠著要把鈔票塞入男舞者<墊>有填充物的丁字褲內。
cwn.Synset('推斷.0') 根據已經知道的事實所斷定的結論。 與北京沒有互信下，事事又不得不做最壞的<推斷>。
