所有 一切、全部。 他必須盡量考慮<所有>可能發生的經驗。
對方 代指事件中與行為主體處於相對地位的一方。 溝通是雙方面的。首先是要自己說的話<對方>能聽到、聽懂和聽得進去。
如此 代指事情的程度。 祖師廟與老街等竟<如此>不平凡，彷彿訴說一頁又一頁的滄桑史。
孰 代指任何人，必在主語位置。 人非草木，<孰>能無情？處處表現關愛，必能產生一股力量，化暴戾為祥和。
小我 代指個人。 而迷呢？就是眾生分別<小我>個體，我是我，你是你，他是他。
他 代指其他特殊的原因。 越是看好的朝陽工業，倒閉的反而越多，無<他>，太多人參與了。
低調 代指分享有版權的內容。 [<低調>]火影忍者的完結實在是太催淚了啦！
其一 代指前述事件中的一項。 中國機讀編目格式三版與四版如何混用，或只取<其一>？
其二 代指前述事件中的兩項。 所謂「雙證查核」，交通部解釋，購買預付卡時，本國人要查驗身分證、駕照或健保卡等證件，可任選<其二>。
伉儷 代指前述夫婦。 由李院長和彭旭明先生、羅副院長<伉儷>均分別下場競技，結果一勝一和。
乃兄 代指前述對象的哥哥。 孫權初時名望並不如乃父<乃兄>，所依賴者唯前朝老臣。
自身 代指前述對象，強調非他人或其他的事物。 我們人類與其他生物一樣，為<自身>的生存要不斷地適應環境的變化。
己身 代指前述對象，強調非別人或別的事物。 官員們認為這非關<己身>業務，而將防災責任一概撇清。
本身 代指前述對象，強調非別的對象。 學術評鑑<本身>代表了一種權力。
凡此種種 代指前述所有的情況。 之後居民申請改建兩層平房時，也都獲合法證明文件。<凡此種種>都證明他們的權利範圍。
乃父 代指前述指涉對象的爸爸。 孫權出時名望並不如<乃父>乃兄，所依賴者為前朝老臣。
其 代指前述提及的特定對象。 天才或無師自通的人是有的，電影史上不乏<其>人。
其 代指前述提及的特定對象所擁有的。 我個人對衣著的要求是以<其>剪裁及舒適度為主。
賢昆仲 代指前述有兄弟關係的複數對象。 由楊明修、楊明聰先生<賢昆仲>捐贈新台幣一百二十萬元整，設置永久性之獎學金基金。
焉 代指前述的對象。 入夜則燈光輝煌，明如白晝，會審公廨，中西郵局，海關、銀行、領事館、電報局，巡捕房、絲廠、船塢、輪船公司皆在<焉>。
吾人 代指包含自己在內的多數人。 因此，<吾人>希望主管們都能體認要做個專家的主管，這才是你的角色定位。
我人 代指包含說話者在內的複數對象。 現時混淆難清之時，至少<我人>還會留給歷史去寫春秋之筆。
陛下 代指君主。 明明是他博棋作弊，還敢口吐狂言羞辱<陛下>。當時若是<陛下>不殺他，臣弟也要拔劍挑了他。
誰人 代指哪一個人。 還有毛澤東、劉少奇、周恩來、鄧小平親臨農村指導的場面，<誰人>還敢懷疑！
你 代指單數的聽話者所擁有的。 李文秀關心地問：「爺爺，<你>背上的傷好些了麼？」
妳 代指單數的聽話者，用於女子。 那是先天的，<妳>忽略了還有一層後天的命可以去配合啊！
你 代指單數聽話者所屬的團體。 我印象中的故鄉台灣，以前大家不分<你>我，大家都為著台灣美好的未來打拼。
夏娃 代指女子。 左腦<夏娃>:女性如何培養意志、天賦與直覺力?
水水 代指女子，稱呼其漂亮的客套用語。 建議各位<水水>～要善用搜尋功能喔！！
官人 代指女性說話者的丈夫。 請<官人>聽我說！你不該聽信那法海的言語，說我們主僕是妖是怪，我們主僕既便是妖是怪，我們待你如何？
妾身 代指女性說話者自己。 <妾身>姓張，小字倩女，年長一十七歲。
拎祖媽 代指女性說話者自己。粗俗用語。 說到這個<拎祖媽>就氣，不想講了啦！
老娘 代指女性說話者自己，帶有狂妄的語氣。 這種三歲小孩都清楚的道理還用得著<老娘>來說。
伯仲 代指家中兄弟間排行的次序，通常是指排行第一和第二的。 米北陽與其兄米南陽以書法享名北京，成為書界少有的兄弟<伯仲>。
的 代指後述省略的特定對象。 不要他走他<的>你走你<的>，那對這婚姻更沒救。
親愛的 代指情人或夫妻對彼此的暱稱。 「<親愛的>，對不起，差一點忘了，今天是妳的生日。」
筆者 代指文章或書的作者。 <筆者>多年前曾邀請施振榮先生談論新創事業有效經營之道。
膝下 代指書信中子女對祖父母或父母的提稱語。 祖父母大人<膝下>，敬稟者：八月底故園拜別，迄今將及半截，孺慕至殷。
鑒 代指書信中寫信者對收信者的提稱語。 諸位系友惠<鑒>：母系為加強與畢業系友之聯繫，擬於每年校慶活動期間邀請系友返回母系參觀與指導。
賢昆仲 代指有兄弟關係的複數聽話者。 哈哈，哈，老夫敬<賢昆仲>一杯。
臣 代指有文武官員身份的說話者。 趙子震頓斂表情，謹慎回話，「<臣>只是覺得公主若再這麼誤會<臣>下去，必定會讓皇上為難。」
甲 代指沒有指名的對象中的第一個。 我，愛情裡的路人<甲>，今年二十一歲，某校工科大三的學生。
丙 代指沒有指名的對象中的第三個。 我的主任朋友<丙>，有個熱中工作卻不受指揮的組長。
壬 代指沒有指名的對象中的第九個。 籃球3人鬥牛賽，共有甲乙丙丁戊己庚辛<壬>癸10人參加，組成3隊。
乙 代指沒有指名的對象中的第二個。 閻羅王宣布：「好！甲小鬼去當乞丐，<乙>小鬼去當富翁。」各位請留意！
戊 代指沒有指名的對象中的第五個。 最近，感謝好人<戊>己庚的幫忙，解決很多的問題。
辛 代指沒有指名的對象中的第八個。 甲乙丙丁戊己庚<辛>八人為發起人，各自出資一百萬元設立A股份有限公司，並於民國八十八年七月十五日辦妥設立登記。
己 代指沒有指名的對象中的第六個。 甲乙丙丁戊<己>庚辛八人為發起人，各自出資一百萬元設立A股份有限公司，並於民國八十八年七月十五日辦妥設立登記。
癸 代指沒有指名的對象中的第十個。 雖然每天都有固定300~400的點閱數，不過大部分都是路人甲乙丙丁戊己庚辛壬<癸>。
丁 代指沒有指名的對象中的第四個。 當好人<丁>比當好人甲、好人乙、好人丙還要更慘！
誰 代指無法確定的人，包括不必要或無法說出姓名的人。 令我最難忘的是，她知道什麼人是幾點來上班，<誰>喜歡喝開水，<誰>喜歡喝茶。
孰 代指無法確定的人，包括不必要或無法說出姓名的人，必在主語位置。 且不論雙方對英文用法的認知<孰>是<孰>非，由Chinky引起的軒然大波已隨著侯貴天九月七日換上新招牌而暫告平息。
之 代指特定對象。 因為溫鎮泉在教育界的學經歷都很好，將<之>擺置於計劃室是錯用人才。
亞當 代指男子。 <亞當>夏娃天生不同，各有所強-解析男女身體密碼。
官人 代指男性聽話者。 那老婦人道：「不瞞<官人>說，老身夫妻兩口兒，姓宋，原是京師人。」
老衲 代指男性說話者。 <老衲>誠心希望，你能找到一秒內修好設備的工程師。
拎杯 代指男性說話者自己。粗俗用語。 一下好一下不好，反反覆覆，<拎杯>聽了歸懶趴火。
賢后 代指皇后。 <賢后>娘娘，你認了罷！昏君意呆心毒，聽信賤人之言，必欲制你死地。如你再不招，用銅斗炮烙你二手。如此慘烈，我何忍見？
朕 代指皇帝自己。 <朕>閱人極多，未知有如此非凡之物。
膝下 代指祖父母或父母身邊。 吾不圖汝甫離<膝下>，已渝染惡習，可嘆可恨！
令郎 代指聽話者的兒子。 <令郎>是位很優秀的人。
令妹 代指聽話者的妹妹。 恐怕<令妹>看不上我這窮苦人家的子弟吧。
卿 代指聽話者的敬語之一。 舉賢任能，各盡其心，以保江東，我不如<卿>。
令尊 代指聽話者的父親。 然<令尊>大人乃前清孝廉公，賢婿似宜舉洋進士。
令祖 代指聽話者的祖先。 我們的祖先孔夫子仲尼曾經向府上的祖先老子李耳請教過的，家祖還尊<令祖>為老師呢。
令 代指聽話者的親屬。 我看<令>侄人材出眾，兵法甚熟，意欲提拔他做一官半職。
卿家 代指臣下，帝后對臣下的稱呼。 <卿家>冤枉，朕悉知之，天下共知其冤。
她 代指自己和對方以外的單數女性第三者，指人。 天這麼冷，又下著雨，<她>怎麼能如此冒失地跑了上來，又穿得如此單薄呢﹖
它 代指自己和對方以外的單數第三者，指人以外的對象。 北京有五顏六色、舊的與新的色彩。<它>有皇朝的色彩，古代歷史的色彩，有蒙古的色彩。
他 代指自己和對方以外的第三人所擁有的。 杜象慣用的策略，目的在挫敗觀賞者任何想從<他>作品裡創造出明確詮釋的企圖。
這般 代指與說話者認知較吻合的事件。 胡適想萬人如海一身藏，跑到紐約<這般>大城市就可以藏身了。
這樣 代指與說話者距離較近的事件狀態。 蘇普笑道：「那是故事中說的，不會真的是<這樣>。」
各造 代指處於事件中所有的人或團體的代稱。 引述了波斯灣開戰後不久，由北京當局所提出的要求敵對<各造>自制的四點聲明，但他拒絕詳細說明。
妳們 代指複數的聽話者，用於女子。 <妳們>最近功課很重嗎？我看小如精神好像都不太好。
那樣 代指言談中已確立的指涉事件。 妳說覺得虧欠我，如果當時沒有這樣那麼現在就不會<那樣>…呵！
兩造 代指訴訟中原告和被告兩方。 惟令各方注目的是雙方除了刑事訴訟外，<兩造>還分別向對方附帶提出民事賠償各一億元。
誰 代指詢問一個或多數的人。 男孩側著頭瞧了她一會，問道：「你是<誰>？」李文秀道：「我叫李文秀，你呢？」
祂 代指說話者和聽話者以外的單數對象。 我從來沒有相信過神，卻始終對<祂>抱有很大的期望。
他們 代指說話者和聽話者以外的複數人。 <他們>二人年紀都還小，不知道真正的情愛是什麼。
她們 代指說話者和聽話者以外的複數女子。 這五位名模在<她們>的專業領域中各領風騷。
它們 代指說話者和聽話者以外的複數對象，用於非人類。 樹木不說話，並不減少<它們>的功用。
我倆 代指說話者和聽話者兩個人。 <我倆>有如一對蜜月中的小夫妻，我故意偷嘴，她也裝惱打我。
先父 代指說話者已死亡的父親。 那是一張圖畫，在常人是得之無用，但因為那是<先父>手繪的，我定要找回那幅圖畫。
他 代指說話者所屬團體以外的團體。 付出大愛不分你我<他>，這就是「無緣大慈、同體大悲」。
我 代指說話者所屬的團體。 民國二十七年元月，<我>軍接收俄國飛機之訓練大致完成。
弟 代指說話者指稱自己時的謙稱。 您所說的那些能量種類或元素，愚<弟>相信人人皆而有之，只是願不願意。
貧道 代指說話者為道教修行人的自稱。 只要你肯把取去的東西交出，<貧道>會為你化解與慈航靜齋和淨念禪院的仇怨，保証他們絕不再予追究。
家兄 代指說話者的哥哥。 胡瑩笑道："倘若青妹被那淫徒騙娶去，<家兄>要終身懊悔不已了。"
家姊 代指說話者的姊姊。 今年我改用<家姊>名下的汽車代步。
賢 代指說話者的平輩或晚輩親屬。 日後<賢>妹有思念時，哥哥自去尋<賢>妹便是。
家母 代指說話者的母親。 搬到這裡後，<家母>身體不舒服，一直躺著。
家父 代指說話者的父親。 <家父>所用的藥，大部分是帶著我們親自到山裡去採挖而來。
家祖 代指說話者的祖先。 這是把通靈的寶刀，<家祖>曾說過有趟遇賊來襲，這把刀竟響個不停來示警哩！
家 代指說話者的長輩或同輩親屬。 到那裡已經是中午了，未及開口，<家>叔就邀我們一起出去吃飯。
這樣子 代指說話者距離較近的事件狀態。 就這麼不明不白的結束，我想知道為甚麼？為甚麼突然之間會<這樣子>，我要怎樣開口向她問清楚我做錯了甚麼？我還有希望嗎？
孤 代指說話者，為古代一國之主的自稱。 今遭辱恥為天下笑，將<孤>之罪耶，諸大夫之責也？
老衲 代指說話者，為年老僧人的自稱。 善哉！善哉！這麼說起來，倒也與<老衲>有幾分善緣！
這 代指這時候，有加強語氣的作用。 洗完澡後，<這>才不慌不忙開了電腦登錄遊戲。
那 代指那時候，有加強語氣的作用。 一群台灣人或中國人，<那>才知道什麼叫吵。
那時 代指除了現在以外的任何一個時間。 還有一個月的時間，希望到<那時>可以更完美！
科科 代替ㄧ般笑聲。 <科科>超爽的。
來 代替具有傳送路徑的動詞。 老高啊，你再給我<來>一些什麼紙錢、香燭、銀紙，拜拜那天要用的。
來 代替具有過程意義的動詞。 他要求該鄉公所取消該次招標結果，重新再<來>一次。
科科 代替冷笑聲。 真的是這樣嗎？<科科>。
ㄏㄏ 代替笑聲的「呵呵」或「哈哈」。 有了臉書就比較少來這裡了<ㄏㄏ>。
署 代理或暫時擔任特定官職。 戴戡暫<署>省長，仍兼會辦軍務。
某些 代稱不指名的複數對象。 密西根州立大學研究以<某些>昆蟲來抑制害蟲的生長狀況。
使 代表國家或政府到其他國家執行外交任務。 及開西域，遣張騫<使>大夏。
使 代表國家或政府到其他國家執行外交任務的官員。 仲宰遣小<使>王惠贊，駢遣小校曾袞入告交趾之捷。
公關 代表所屬機構或組織透過公開溝通的方式與公眾建立的良好關係的人。 直接當<公關>，把班上的聯誼重任扛上肩膀，這真是遠超出老簡的能力範圍。
數字 代表數量所用的符號。 我們寫金額票據時，還要寫上大寫<數字>，有關這個規定的起源，要追索到明朝。
巴黎 代表法國的政府。 <巴黎>雖表示準備對此問題妥協，不過這項紛爭充分顯示，諸如法國肉類生產者這樣一個小小的國家利益團體，就能輕易阻礙歐市宏偉的計劃。
籍 代表特定對象屬於特定團體的身分。 歷次學潮照例要犧牲一批同學，主要是馬來西亞<籍>學生，遭遇開除或驅逐出境的命運。
出面 代表特定對象處理特定事件。 既然黨的副主席周恩來、陳雲都不能<出面>阻擋，他又有何本事扭轉乾坤？
符 代表特定意義的圖形標記。 透過文字及樂<符>，刻劃人生境遇及生命經驗。
符號 代表特定意義，或具有特定功能的圖形或文字。 1.在這場遊行中，女模特兒以自己的裸體當作抗爭的傳播<符號>。標點符號、注音符號。
倫敦 代表英國的政府。 智利總統拉哥斯曾說，美、英「總是索求無度」，激怒了華府與<倫敦>。
議員 代議政治的國家中由人民選出的代表人民監督政府的人。 在目前的政治環境下，地方官員與<議員>怯於開征新稅的心態可以理解。
恥 令人感到羞愧恥辱的事件。 登山領隊亂塗鴉，台灣山友之<恥>。
威 令他人敬畏、信服的特質。 監察院建立「<威>」、「信」是很重要的事。
拱 以一手握拳，另一手包覆在其上的方式行禮。 我<拱>了<拱>手，藉這個動作整理自己的思緒。
帶 以不同顏色代表能力的等級的帶子。 我們要從白<帶>晉級到黃<帶>，由於是第一次晉級檢定，心裡很是緊張。
陷 以不正當的方式誘使後述對象遭遇不利的事。 請台電不要<陷>總統於不仁不義，百萬澎湖鄉親將反對到底。
趕盡殺絕 以不留餘地的手段逼迫對象。 將IBM<趕盡殺絕>，恐怕才是惠普與戴爾最大的野心。
民 以中華民國建國所開始計算的時間。 傅尚裕《多媒體簡介》第三波120期（<民>81年8月）頁50。
意圖 以主事者主觀意識計畫達成後述目的。 這個廣場的靈感來自巴比倫花園，<意圖>將花園與廣場合一。
支持 以主觀意志維持後述狀態。 走了好久，什麼也沒找到，牠覺得又飢餓又寒冷，快<支持>不住了。
奶 以乳汁餵食，引申為撫養。 父親是靠他的堂嫂陳桂英<奶>大的，建國後還一再給這位<奶>大他的嫂子寫信問候。
乾 以乾杯的方式將後述份量的酒喝完。 為我們這次合作<乾>一杯。
換取 以交換的方式得到後述對象。 沙烏地國防部長建議不妨以割地來<換取>海珊撤軍，美國自是難以接受。
換 以交換的方式得到特定對象。 利用自己的部落格，說服別人以物<換>物，宣傳自己<換>東西的目的。
載 以交通工具運送特定對象到特定地點。 你不是覺得臺中的天氣不錯嗎？你就開車<載>我去吧！
飼 以人工方式養特定動物時所給的食物。 冬天要提前做好打草、儲<飼>的過冬準備工作。
養 以人工的方式培育或飼養後述生物。 我以前有個朋友，專門<養>狗。
人 以人為形象製成的人造物。 餅乾<人>很可愛的被黏在餅乾上喔！真想把夾心餅乾咬下去！
仰 以仰式進行的游泳比賽。 游泳比賽中混合式接力項目的棒次姿勢順序為<仰>、蛙、蝶、捷。
求饒 以低姿態希望對方原諒。 他眼睜睜看著帶他長大的祖父，跪在地上<求饒>不成，讓叛軍亂槍打死。
求 以低姿態希望對方同意。 哎唷，不要打我！我<求>你不要打我好不好？
佛 以佛為形象製成的人造物。 她戴了一條<佛>鏈，不過她把<佛>鏈掛在頸後，並以長頭髮遮掩，不容易被發現。
放 以使特定對象著火的方式破壞特定對象。 看到了沒有？他現在貪污證據都要收回，<放>把火給燒了。
床 以供人躺在上面睡覺為主要功能的家具。 春天的太陽，總是閃耀的，正好照在<床>邊的植物上。
協 以促進及維護共同利益為目的而結合的團體。 劉曉慶加入中國作<協>網友譏評。
慈 以充滿愛的言語或行為對待後述年紀較小的對象。 敬老<慈>稚，爰及行路。
兔子 以兔為形象製成的人造物。 每一條鍊子都有不用的風格蝴蝶結與playboy水晶<兔子>頭裝飾。
跑 以兩腿交互快速向前移動。 足球隊員的耐力很強，每個人都可以<跑>十幾圈操場，我就是一個例子。
跨 以兩腿分別在特定物體兩邊的姿勢坐或站在特定物體上。 青少年近年流行<跨>站在俗稱「火箭筒」的腳踏車後輪橫槓上。
任命 以公文正式指派他人擔任職務。 交易所提存四億元設立證券投資人保護基金、並<任命>上市部經理由鄧文簡接掌。
恢復 以其他方式補償失去的內容。 生產損失必須超過最近三年平均產量的30%，支付所得的補償不得超過<恢復>損失的總成本。
牌 以具有特定文字或圖案的成組的牌來進行的遊戲，通常用金錢來計算勝負。 老師的生活圈打打小<牌>原本無可厚非，但打麻雀打到床上去，可就要吃上官司了。
轟 以具爆炸、摧毀性的武器破壞或攻擊特定目標物。 這個石頭窩，歷史上被雷公<轟>散而成現狀。
表徵 以具體方式表達抽象概念。 都市之意象非三度空間景觀之狀況所能<表徵>。
剪 以刀刃交叉來剪開或剪斷物體。 果然是他想要當車掌，可以<剪>車票喀嚓喀嚓。
削 以刀刃或其他工具去除物體的一部分。 我的工作很枯燥，大部分都在疊報表和<削>鉛筆。
剃 以刀刃除去毛髮。 農莊內您有機會見到牧羊叔叔在為羊<剃>羊毛。
剁 以刀斧等利器由上往下猛力切斷特定身體部位。 這並不代表他真的要把頭<剁>下來。
合作社 以分擔風險為原則，由所有成員共同經營分享利益的經濟組織。 中部地區一家信用<合作社>理事主席的女兒，傳出介入股市、造成擠兌。
合作社 以分擔風險為原則，由所有成員共同經營分享利益的經濟組織的建築物及建築物所在的位置。 如果遺失票據，應先到付款銀行、<合作社>或農會，辦理掛失止付手續。
切 以切的動作傷害到後述對象。 不小心把手<切>破了，流了好多血。
鬆 以切碎的魚或肉等為主要材料製成的料理。 上次去吃了Kokekokko的日式串燒對他們的雞<鬆>飯還是非常的懷念。
拷 以刑具或其他類似方式逼問特定對象。 這是因為<拷>訊時用手械太狠，把指骨全夾斷了。
主義 以前述主張及規範為主的理論系統。 現代<主義>鼓吹的是要打破傳統、破舊立新。
之上 以前述事物為基礎。 因為任何自欺都是建立在某種虛偽與假象<之上>。
為首 以前述團體作為在同類團體中起帶頭作用的。 西歐軍事防衛主要威脅來自以蘇聯<為首>之華沙集團地面部隊攻擊。
為題 以前述對象作為主題。 蕭部長將以經濟發展趨勢<為題>，發表六十分鐘演講。此次展覽將以影響歐洲藝壇至鉅的荷蘭畫家林布蘭<為題>。這道菜是由當地師傅王文基根據媽祖的傳說<為題>，以當地的材料做出來的菜。
為首 以前述對象作為在同類事件中順序排第一的。 以中央公園<為首>，其它的城市也隨之效法，興建了許多的公園。
為首 以前述對象作為在組織或團體中肩負領導責任的。 至混戰末期，北方僅賸下兩個大軍事集團，分別以曹操和袁紹<為首>。
為證 以前述對象作為證人。 新人們在藍天綠地之間以天地<為證>，在尊重人權的莊敬宣示之下，建立和諧溫馨的家庭。
為題 以前述對象作為題目。 昨天也以「二十一世紀的教育前瞻」<為題>發表專題演講。
祭 以前述對象為主題的活動。 4月上旬將舉行櫻花<祭>，將延長開放時間，以便旅客觀賞夜櫻。
而言 以前述對象為思考的觀點。 現在對他<而言>最重要的是把市政做好。
說出來 以前述對象表達出特定訊息。 你幾乎感覺不出她是在唱，好像就是隨心所欲地把內心的感受用歌聲<說出來>，聽的時候就是"舒服"兩個字。
為由 以前述敘述作為理由。 校方以資訊、電腦<為由>，認為資管系學費要比照理工學院。
為限 以前述數量作為限制。 學生登記以一校<為限>，違反規定的將取消其資格。
應 以前述方法符合後述事件的要求。 每年十二月，各唱片公司都會把昔日聖誕歌曲重新推出，以<應>節慶。
見長 以前述方面為優點。 先生學貫古今，尤以詩詞<見長>。
地面 以前述材料鋪設在地面上的一層平面物質。 長約五十公尺的工廠走道鋪設大理石<地面>，爽目明亮。
立國 以前述條件為國家認同或存在的基本要件。 台灣以貿易<立國>，不管是阿拉咳嗽或美帝打噴嚏都會受到感冒傳染。
為準 以前述標準做為標準。 若時間允許，則大致上以主體<為準>測光，若主體為人則以人物的臉部為測光之準。
點燃 以前述物品使後述對象著火。 我<點燃>了煤油爐，把泥一般的大麻漿放在一個鋁鍋炒著。
都 以前述特質聞名的城市。 此地為西非海岸乃至全球降雨最多的地區之一，素有「非洲雨<都>」之稱。
主義 以前述看法為行為模式依據的思想。 不論你忙於工作或者偷得半日閒暇，頂著健康<主義>的信念總是大有前途的。
為限 以前述範圍作為限制。 圖書館圖書的類別，以文學為主，不以文學<為限>。
開動 以前述能源使後述對象運轉。 我們僅需要用很小的能量<開動>它，巨大的能量就會經過它而源源流出。
制 以前述辦法來控制後述對象。 節流方面，鼓勵離峰用量，避開尖峰用電的負荷量，以價<制>量達到節約能源目的。
茶 以前述除了茶葉以外的原料沏成或煮成的飲料。 高家冬瓜<茶>開業已47年，在新竹享有盛名。
掌 以動物的掌為主要食材的料理。 小時候吃年夜飯，飯桌上總少不了一碟北菇扒鴨<掌>，那是我們潮汕人的家鄉菜。
亂 以反抗當局政權為目的所發動的武力行動。 明中葉的戚家軍要求各級將士衛國保民，除暴定<亂>
怎能 以反詰的方式來表達後述事件不會成為事實或不是事實。 我的心病都醫不好了，<怎能>治身病？
怎肯 以反詰的方式來表達說話者不樂意做後述事件。 若我能預知命運的安排，<怎肯>離開你。
怎敢 以反詰的方式來表達說話者有所顧忌而不敢做後述事件。 主子吩咐之事，我<怎敢>不聽，<怎敢>不依？
說明 以口語媒介明確提供後述訊息。 「客人一上車<說明>目的地，我從啟動排到四檔，就已經規劃好行車路線，」他說。
訊息 以口語或書面形式傳播的消息。 本系統的各項詞彙之基本資料的更動由詞庫專人負責，故欲更動任何<訊息>，須先設定密碼。
口頭 以口語為媒介的表達方式。 廣州話是最為廣泛採用的<口頭>語言。
說來 以口頭說。 <說來>簡單，我卻辦不到。
服 以口食用藥物，吃藥。 囚犯在獄中<服>毒自殺身亡。
鎖 以古代的鎖的輪廓為形象所製成的人造物，具有守護祈福的象徵。 長命<鎖>，顧名思義就是要守護命，讓小孩子平安健康的長大。
傘 以可以手持的柄連接打開後呈放射狀的細長骨架撐開輕質的材料，用來遮擋雨水或陽光的器具。 用完餐，在門口撐開了手中那把黑色大<傘>。
通訊 以各種不同媒介傳遞訊息的方式的總稱。 蕭萬長昨天指出，由經濟部及經建會篩選出的資訊、航空及<通訊>等十項高科技新興產業，將提報行政院院會。
汁 以各種特定材料製成的可食用的液體。 加了糖<汁>的鳳梨罐頭比新鮮鳳梨好吃。
參見 以合乎禮節的方式與位階較高的特定對象見面。 大房間裡所放置的諸侯們<參見>將軍的模擬情景，就像天子接見大臣們一樣隆重。
吹 以吹氣的方式使火熄滅。 小同牽著周雨廷的手，一起<吹>了蠟燭。
吹 以吹氣的方式將後述材料製作成物品。 一群觀光客走到一個<吹>玻璃的攤位前面停下來觀看。
咳 以咳嗽的方式發出聲音，以傳達特定訊息。 翡翠突然輕<咳>了幾聲同時向琥珀連使眼色，我見狀心中頓時一奇。
奶 以哺乳動物乳汁或仿製品為原料的食品或飲料。 請問各位，燉<奶>怎麼做？
直流 以單一方向流動的電流。 此種<直流>馬達中整流器和電刷的裝配可得出各種頻率的動力。
球 以圓的半徑為軸，使旋轉一周而成，且由中心至表面各點距離皆相等的立體。 他在花園玩兒，把<球>拋到一個小樓上去了，就叫薛湘靈去撿<球>。
團長 以團為單位的團體的領導人。 大會每學期由<團長>至少召開二次。
窯 以土塊在野地堆砌而成，用來悶烤食物的器具。 當<窯>燒得通紅時，我們把地瓜送進<窯>內再掩蓋起來，約半小時後又香又可口的番薯出爐了。
充 以填充的方式使將特定物質放入特定空間。 漁筏筏管內部應儘可能<充>以發泡材料。
填 以填充的方式使後述對象恢復原來的形狀。 小朋友一定要定期檢查乳牙，如壞了要儘早<填>牙。
充滿 以填充的方式將特定物質放入特定空間直到容量達到極限。 我把雞蛋放在塑料袋中，然後用棉花<充滿>周圍的空間，可以試試。
墨 以墨子為代表的墨家思想。 至於中國人意志堅強也可以從歷史事實來證明，像儒<墨>兩家都提倡堅強的意志，中國人也非常崇尚氣節，所謂寧為玉碎，不為瓦全，餓死事小，失節事大。
抽 以壓力或吸力移動後述流體到其他地方。 陽明大學的節約用電措施，有<抽>水馬達在晚上才運轉、游泳池過濾器於用電尖峰時間關閉等。
壺 以壺為形象製成的人造物。 超精緻全新奧地利水晶<壺>具組擺飾，適合送禮。
壺 以壺盛裝的液體的單位。 極品香辣蟹的鐵觀音是以<壺>計，也有免費的茉莉花茶，不過不如老北京餐廳的香片，也是免費的。
動心忍性 以外在的困難磨練自己，使性格更堅強。 有句民諺講的好：成人不自在，自在不成人。努力克制自己，就像孟子所說的"<動心忍性>"，能夠忍性，那它最直接的效果就是增益自己以前沒有的本事。
包 以外皮包住內餡，製成後述食物。 <包>粽子並不難，多試幾次就會了。
傘 以大面積的輕質紡織品或類似材料做成，展開時可以產生浮力協助飛行的器具。 跑個幾步，就連人帶<傘>輕飄飄地浮上天空，看起來似乎輕而易舉。
道教 以太上老君為教祖的宗教，以符咒為人治病，講長生煉丹之術，相傳為中國東漢張陵所創立。 此廟建於光緒22年，主要供奉關公，是一座傳統的<道教>廟宇。
作怪 以奇異、不尋常的方式吸引他人注意。 主辦單位希望參加者都能<作怪>，所以在場地入口處有提供彩繪服務。
豈敢 以客套語氣表達應該有所顧忌而不敢去做後述事件。 先生笑道：少俠太謙虛了，老夫<豈敢>自大？
淘 以容器取水。 去缸裡<淘>水清臉，可以聞到水的甜潤。
菌 以寄生或腐生方式生存的一種低等生物。 一般住家沒有二十四小時空調，最好避免使用地毯，以免生霉生<菌>，對人體不好。
驗證 以實際體驗對理論提供的證明。 過去一直在用的方法，沒有理論的背景，都在這三天得到了<驗證>。
框 以將球射入固定空間為得分標準的球類比賽的得分範圍。 一個正規足球<框>長7.32米，寬2.44米，高2.44米。
老 以尊敬長者的方式對待。 老革命注意到人家一視同仁的「<老>吾老」，對老人的一切善待和優待。
條 以布為主要材質的衣物。 雨傘牌浴巾禮盒宅配每盒300元，買3<條>再送雨傘浴巾1<條>，免運費。
條 以布為主要材質的衣物的單位。 亞麻涼蓆的分等以<條>為單位，按實物質量、內在質量和外觀質量三項檢驗結果評定。
帆 以帆布製成的。 下雨天該穿<帆>鞋還是涼拖？
端 以平舉的方式拿著。 她朋友<端>著蛋糕盒子的小心姿態，深怕弄壞了裡頭的東西。
解嘲 以幽默的態度來面對難以改變的事實。 面對變故，學會自我<解嘲>。
弓 以弓為形象做成的人造物。 「紅色」的糖果武器，是去年活動的禮物，有糖斧頭、糖<弓>，薄荷匕首等。
打 以彈棉花的方式製造出棉被。 王某上前招呼，並稱30元可以<打>一床棉被，此時張某迅速湊近婦女，聲稱給28元就行。
錦 以彩色絲線織出的有花紋圖案的絲織品。 多年來，南京雲<錦>研究所恢復了失傳品種「雙面<錦>」、「凹凸<錦>」，開發出人民大會堂江蘇廳裝飾用<錦>「雨花<錦>」等。
再說 以後再商量、討論，通常對於一時無法解決的問題，所用的拖延之辭。 此事明天<再說>。
為 以後述事件當行動的目的。 如果生起慈悲心、憐憫心，一切只<為>眾生，那麼所顯現於前的就是佛。
托 以後述對象作為名義、理由或藉口。 運水車假<托>賑災逃避路橋費。
認 以後述對象作為有效的憑據。 他們是只<認>文憑不問本領的。
講 以後述對象作為注重並遵循的原則。 中國人愛家，愛朋友，<講>孝順，<講>義氣。
折 以後述對象換取其他等值的特定對象。 我要<折>我的陽壽給奶奶延年益壽。
等於 以後述對象比喻前述對象。 失去好茶，<等於>失去了文化的根，即是宣布了魯凱族的滅亡。
闖 以後述標準為突破目標。 人民幣勇<闖>7.70大關，收7.7654再創新高。
