e04 , 形容極度不悅。
大量 , 表數量的規模很大。
大陸人 , 普通名詞。中國大陸的人民。
大陸人 , 普通名詞。國民政府遷臺之後從中國大陸來臺灣的人。
大陸 , 地方詞。中華人民共和國，建立於西元1949年。
大陸 , 地方詞。地表上的廣大陸塊。
大陸 , 專有名詞。代表中華人民共和國政府。
大駕 , 代指聽話者。
大駕 , 普通名詞。古代帝王乘坐的一種轎子。
天下 , 地方詞。地球上的所有地方。
天下 , 地方詞。天下文化出版公司的建築物及建築物所在的位置。
天下 , 地方詞。由空間、時間、物質、能量所構成的統一體，通常指空間。
天下 , 地方詞。自然界一切事物的總合。
天下 , 專有名詞。臺灣出版社之一，創辦人為高希均。「天下文化出版公司」的縮寫。
天下 , 專有名詞。雜誌名，創辦人為殷允芃。「天下雜誌」的縮寫。
天下 , 普通名詞。全體人類社會。
天下 , 普通名詞。自成體系的組織或現象。
天主教 , 專有名詞。西方宗教之一，信奉耶穌為救世主基督之外，奉瑪麗亞為聖母。
天呀 , 感嘆詞。表祈求、驚訝或憤怒的語氣，原意為對天祈求。
天哪 , 感嘆詞。表祈求、驚訝或憤怒的語氣，原意為對天祈求。
天啊 , 感嘆詞。表祈求、驚訝或憤怒的語氣，原意為對天祈求。
天天 , 表每一天。
天 , 形容與現實脫節的。
天 , 普通名詞。一天當中的特定時段。
天 , 普通名詞。人類相信能夠控制自然界或人類命運的主宰者。
天 , 普通名詞。在特定區域和時間內，多種氣象要素綜合顯示的大氣狀況。
天 , 普通名詞。太空。
天 , 普通名詞。接尾詞。符合前述天氣特質的日子。
天 , 普通名詞。時間的單位。一天為二十四小時。
天 , 普通名詞。比喻最重要的事物。
天 , 普通名詞。比喻能使才能或特質得到發揮的領域。
天 , 普通名詞。眼睛看得到的天體所在的廣大空間。
天殺的 , 咒罵人的話語，遭天譴的意思。
天殺的 , 普通名詞。由咒罵人的話語轉為指稱咒罵的對象。
天氣 , 普通名詞。一天當中的特定時段。
天氣 , 普通名詞。在特定區域和時間內，多種氣象要素綜合顯示的大氣狀況。
天氣 , 普通名詞。特定區域長期的大氣平均狀況。
天然 , 形容自然存在或產生的。
天然氣 , 普通名詞。埋藏在地下，自然產生的可燃氣體。
天秤座 , 專有名詞。星座名，排列的形狀像天平。
天秤座 , 專有名詞。西洋十二星座之一，九月二十三日至十月二十二日之間出生者的命宮。
天秤座 , 普通名詞。天秤座的人。
天空 , 普通名詞。比喻能使才能或特質得到發揮的領域。
天空 , 普通名詞。眼睛看得到的天體所在的廣大空間。
天蠍座 , 專有名詞。星座名，一長列亮星排成一個巨大的彎鉤，形狀像一隻拖著長尾巴的大蠍子。
天蠍座 , 專有名詞。西洋十二星座之一，十月二十三日至十一月二十一日之間出生者的命宮。
天蠍座 , 普通名詞。天蠍座的人。
天 , 計算時間的單位。一天為二十四小時。
天體 , 泛指太空中的物體。
太多 , 形容前述特質的程度高。
太多 , 指數量大的後述對象，且超過預期。
太太 , 普通名詞。在社交上對已婚女子的稱呼。
太太 , 普通名詞。對男子在婚姻關係中的配偶的指稱。
太太 , 普通名詞。男子在婚姻關係中的配偶。
太 , 專有名詞。姓。
太平洋 , 地方詞。三大洋之一，世界上面積最大的水域。
太 , 形容後述尊稱謂再往上一輩的。
太晚 , 形容事件發生時間比預期的時間慢。
太甚 , 表超過適當程度很多，通常帶有負面涵義。
太 , 表程度極高。
太過 , 表超過適當程度。
太陽 , 普通名詞。人體重要穴道之一，位於眉骨和外眼角後的微凹部位。「太陽穴」的簡省。
太陽 , 普通名詞。太陽發出的光和熱。
太陽 , 普通名詞。白天天空最明顯的發光天體，早晨從東方升起，黃昏從西方落下。
太陽 , 普通名詞。銀河系的恆星之一，地球以它為中心公轉。
夫 , 代名詞。代指聽話者。
夫妻 , 普通名詞。丈夫和妻子。
夫 , 普通名詞。女子在婚姻關係中的配偶。
夫 , 普通名詞。對女子在婚姻關係中的配偶的指稱。
夫 , 普通名詞。成年男子。常用接尾詞。
夫 , 普通名詞。接尾詞。從事前述勞動工作的男子。
夫 , 用於句末，表示感嘆或疑問。
央 , 以卑微的態度請他人幫忙。
央 , 專有名詞。臺灣國立大學之一，位於桃園縣。「中央大學」的縮寫。
央 , 普通名詞。接尾詞。特定平面的中心。
央求 , 以卑微的態度請他人幫忙。
失之 , 特定對象的缺陷在於後述負面的心態或行為。
失信 , 沒做到答應他人的事情。
失去 , 失去後述對象。
失 , 在競爭中被打敗。
失 , 在競賽中被對手得到後述分數。
失 , 失去後述對象。
失敗 , 形容在競爭中被打敗。
失敗 , 形容沒有達到預期的結果。
失 , 普通名詞。不適當或不正確的行為。
失望 , 形容希望沒有實現而感到傷心失落。
失 , 比喻沒有維持原本應有的正常狀態。
失 , 比喻特定對象的尊嚴受損。
失 , 比喻違背或不合乎特定對象的要求。
失 , 沒有在後述事件發生的時間或在後述物體出現的地點把握住該事件或物體。
失 , 特定對象不再存在。
失落 , 形容因為失去了被個體感覺為有意義、有價值、熟悉的人事物，而感到低落的情緒。
失落 , 形容從有到無的狀態。
夷 , 專有名詞。中國古代對東方民族的通稱。常用接尾詞。
夷 , 形容文化落後未開化。
夷 , 形容經歷危險或威脅而未受損害的。
夷 , 普通名詞。中國古代對中原以外民族的輕蔑稱呼。
夷 , 普通名詞。中國對西方人的輕蔑稱呼。常用接尾詞。
夷 , 消滅後數群體。
夾 , 以兩個身體部位將特定物體固定。
夾 , 以特定工具夾毛髮，使其呈現出特定形狀。
夾 , 前述事件發生時後述事件跟著一起發生。
夾 , 將特定物品嵌入或固定在兩個平面中間。
夾 , 普通名詞。接尾詞。以特定工具夾毛髮，使其呈現出特定形狀的工具。
夾 , 普通名詞。接尾詞。可將特定物品嵌入或固定在兩個平面中間的工具。
夾 , 普通名詞。接尾詞。有支撐點於兩臂能固定物品的工具。
夾 , 比喻特定對象的立場處在對立的雙方中間。
夾 , 特定對象位置處在兩個以上的對象的中間。
夾 , 特定物體卡在後述物體的空間中不能移動。
夾 , 用有支撐點及兩臂的工具固定後述對象。
夾道 , 普通名詞。兩旁有樹木或牆壁的狹窄通道。
夾道 , 表沿著道路兩旁。
夾 , 類似的兩種以上對象在同一空間範圍內同時存在。
奇 , 形容不常見且特殊的。
奇 , 形容預料之外的。
奇怪 , 形容奇異的、不尋常的。
奇怪 , 感到無法理解。
奇 , 普通名詞。不常見且特殊的事物。
奇 , 普通名詞。除去整數後的零數。
奇 , 表單的，不成對的。
奇 , 表超過平常的程度。
奉令 , 表接受命令。
奉 , 以燒香、拜拜的方式來恭敬地對待後述對象。
奉勸 , 委婉建議他人做後述事件。
奉命 , 表接受有權力的人的命令。
奉 , 專有名詞。姓。
奉 , 引介所尊崇的原則。
奉 , 恭敬地對待。
奉 , 恭敬地提供飲食。
奉 , 根據有權力的人的命令做事。
奉為 , 恭敬地把前述對象當作後述對象。
奏 , 中國古代文體之一，內容為臣下進呈君王的文書，通常用於報告。
奏 , 古代臣下向皇帝上書或進言。
奏 , 專有名詞。姓。
奏 , 形容達到預期的效果。
奏效 , 形容達到預期的效果。
奏 , 普通名詞。接尾詞。音樂的特定演奏技巧。
奏 , 演奏特定音樂。
契約 , 普通名詞。各方當事人所訂立的具法律效力的文件。
奔 , 專有名詞。姓。
奔 , 形容水流速度快的。
奔 , 快速前往後述地點。
奔 , 快速地跑。
奔放 , 形容情感盡情流露，不受拘束。
奔 , 比喻數量或數目快速上升到後述指標。
奔 , 比喻朝特定目標前進。
套 , 兩個以上的特定對象互相銜接或重疊。
套 , 將和特定物體形狀相符的物品包覆在該物體上。
套 , 專有名詞。接尾詞。用於河流或山勢轉折彎曲的地方的名稱。
套 , 形容事物成組搭配好的。
套 , 接頭詞。形容用來包覆在特定物體上的。
套 , 普通名詞。成組搭配好的事物的單位。
套 , 普通名詞。接尾詞。和特定物體形狀相符，用來包覆該物體的物品。
套 , 普通名詞。接尾詞。環繞特定物體且拉緊後可以固定在該物體上不會脫落的圈狀物。
套 , 普通名詞。比喻方法、手段。
套 , 普通名詞。比喻特定事件既定的程序或計畫。
套 , 比喻以特定規範限制後述對象的行為。
套 , 比喻利用和他人的交情，希望可以獲得好處。
套 , 比喻將其他特定對象拿來當作自己的使用。
套 , 比喻投資的資金因特定原因而無法流通運用。
套 , 比喻用言語引導他人說出實情。
套 , 用圈狀物環繞在特定物體上。
套 , 計算成組搭配好的事物的單位。
奚 , 專有名詞。姓。
奠基 , 比喻將事件的基礎建立。
奠基 , 象徵土木工程的開始。
奧 , 地方詞。國名，歐洲中部的國家，位於匈牙利、義大利、瑞士、德國等國之間。「奧地利」的簡省。
奧 , 專有名詞。姓。
奧 , 專有名詞。接尾詞。專為具有前述特質的運動員所舉辦的國際性運動會。
奧 , 專有名詞。接尾詞。每四年一次，輪流在世界各大城市舉辦的國際性運動會。「奧林匹克運動會」的縮寫。
奧 , 專有名詞。接尾詞。針對前述學科為中學生所舉辦的國際性學科競賽。「奧林匹亞」的縮寫。
奧 , 專有名詞。治理奧地利的政府。「奧地利」的縮寫。
奧 , 形容客人很難應付、取悅。　
奧 , 形容接近事物最基本概念而不易由表面現象理解的。
奧 , 形容極差的。
奧斯卡 , 專有名詞。外文名字。
奧斯卡 , 專有名詞。美國電影藝術與科學學院每年頒給從事各項電影工作優秀人員的獎項。「奧斯卡金像獎」的縮寫。
奧斯卡 , 普通名詞。美國電影藝術與科學學院每年舉辦的頒獎活動。「奧斯卡金像獎」的簡省。
奧斯卡 , 普通名詞。美國電影藝術與科學學院每年頒給從事各項電影工作優秀人員的獎盃。「奧斯卡金像獎」的簡省。
奧 , 普通名詞。奧地利的文化。「奧地利」簡省。
奧會 , 地方詞。奧會的建築物及建築物所在的位置。
奧會 , 專有名詞。各個國家及地區的奧林匹克委員會。「奧林匹克委員會」的縮寫。同義詞「奧林匹克委員會」。
奧會 , 專有名詞。國際奧林匹克委員會。「奧林匹克委員會」的縮寫。同義詞「奧林匹克委員會」。
奧運 , 專有名詞。古希臘人每四年一次，在奧林匹克舉行的祭典競技會，至西元394年中斷。「奧林匹克運動會」的縮寫。
奧運 , 專有名詞。每四年一次，輪流在世界各大城市舉辦的國際性運動會。「奧林匹克運動會」的縮寫。
奪 , 以暴力、威脅或其他強勢手段取得後述原來不屬於自己的對象。
奪 , 使特定對象的所有者失去其所有權。
奪得 , 取得後述對象，通常是獎項或優勢。
奪 , 比喻前述對象勝過後述對象。
奪 , 比喻快速衝出特定出入口。
奪 , 比喻贏得後述獎項。
奪 , 比喻錯過特定時間。
奮力 , 表用出全部的力氣。
奮 , 專有名詞。姓。
奮 , 形容精神振作、情緒激動。
奮戰 , 奮力作戰。
奮戰 , 為了目標而努力與敵手對抗。
奮 , 用力且激動地舉起或擺動後述對象。
奮 , 表用出全部的力氣。
奮鬥 , 為達到特定目標而努力。
女人 , 形容具有女子特質的。
女人 , 普通名詞。具有生產後代能力的人。
女人 , 普通名詞。成年女子。
女人 , 普通名詞。男子的配偶或接近配偶關係的女性伴侶。
女兒 , 普通名詞。父母對自己所生育的女性後代的指稱。
女兒 , 普通名詞。第一代的女性後代。
女士 , 普通名詞。在社交上對女子的尊稱。
女士 , 普通名詞。在社交上對女子的稱呼，通常是中年以上或已婚。
女子 , 形容專門給女子參加的。
女子 , 形容專門設計給女子使用的。
女子 , 普通名詞。具有生產後代能力的人。
女孩 , 普通名詞。年紀小的女性孩童。
女孩 , 普通名詞。年輕的女子。
女 , 專有名詞。中國天文學的星宿，為北方玄武之一。
女 , 形容人之中具有生產後代能力的性別。
女 , 形容動物中具有生產後代能力的性別，用於寵物。
女 , 形容專門設計給女子使用的。
女性 , 形容具有女子特質的。
女性 , 普通名詞。具有生產後代能力的人。
女性 , 普通名詞。具有生產後代能力的動物，用於寵物。
女 , 普通名詞。具有生產後代能力的人。常用接尾詞。
女 , 普通名詞。具有生產後代能力的動物，用於寵物。
女 , 普通名詞。父母對自己所生育的女性後代的指稱。
女生 , 形容具有女子特質的。
女生 , 普通名詞。具有生產後代能力的人。
女生 , 普通名詞。具有生產後代能力的動物，用於寵物。
女生 , 普通名詞。女學生。
女生 , 普通名詞。父母對自己所生育的女性後代的指稱。
奴 , 專有名詞。姓。
奴 , 普通名詞。比喻具有前述主觀上負面特質的人的貶稱。
奴 , 普通名詞。比喻受前述對象控制的人。
奴 , 普通名詞。舊時供人使喚，沒有自主權利和行動自由的人。
奴 , 男女對地位較高者說話時的自稱。
奶 , 以乳汁餵食，引申為撫養。
奶 , 專有名詞。姓。
奶 , 接頭詞。形容剛出生，還在接受哺乳階段的。
奶 , 接頭詞。形容提供撫養或哺育照顧。
奶 , 普通名詞。以哺乳動物乳汁或仿製品為原料的食品或飲料。常用接尾詞。
奶 , 普通名詞。哺乳動物乳腺匯集的部份。
奶 , 普通名詞。哺乳動物為了哺育後代而產生的乳汁。常用接尾詞。
奶 , 普通名詞。對有孫子的女子的指稱。
奶 , 普通名詞。接尾詞。對與祖母年紀相仿的一般年長女子的尊稱。
奶 , 普通名詞。接尾詞。對親屬中與祖母同輩的女子的稱呼。
奶 , 普通名詞。接尾詞。指男子的多名配偶中的其中一個。
奶 , 普通名詞。有孫子的女子。
奸 , 以暴力的方式強制發生性關係。
奸 , 屬於前述團體，但卻出賣該團體，並何其他團體暗中合作的人。常用接尾詞。
奸 , 形容陰險狡猾，使用負面手段取得利益的。
奸 , 比喻男女間有不正當性關係的。
她 , 代指自己和對方以外的單數女性第三者，指人。
她們 , 代指說話者和聽話者以外的複數女子。
好不容易 , 表說話者主觀評價認為經過一段困難的過程才實現。
好不 , 表說話者主觀評價程度高，帶有誇張語氣或情感。
好些 , 形容前述程度比較好一點。
好些 , 數量大或種類多。
好似 , 前述對象看起來像後述對象。
好似 , 表表面上具有後述特性，隱含具有與預期相衝突特性。
好 , 值得，用於否定或疑問句。常用「沒什麼好…」、「有什麼好…」。
好像 , 表事件有可能不確定，用於委婉語氣。
好像 , 表以與前述事物有共同點的後述事物作為比喻。
好像 , 表與事實不符，但感覺逼真的狀況。
好像 , 表說話者主觀的印象。
好兄弟 , 普通名詞。俗稱無主的鬼魂。
好兄弟 , 普通名詞。好朋友間的暱稱，彼此交情深厚的男性朋友。
好 , 反話，表示不滿意，有挖苦的涵意。
好受 , 形容因為特定事件而感到舒服、良好的情緒。
好 , 問候語，常用於對話的開場。
好 , 喜愛並養成習慣。
好多 , 形容前述特質的程度高。
好多 , 數量大或種類多。
好奇 , 形容對自己不了解的事物感到有興趣。
好好 , 形容全心全意的做特定事件。
好好 , 形容情況正常完好。
好 , 容易，常用於疾病。
好幾 , 表示多。
好 , 形容對特定對象的評價是正面的。
好 , 形容態度親切的。
好 , 形容變好。
好 , 形容關係親近的。
好意思 , 指沒有羞恥心地做後述事件。
好朋友 , 普通名詞。女子月經來潮的事件。
好朋友 , 普通名詞。相識且交情深厚的友人。
好比 , 引介例子。
好比 , 描述後述事物在性質、狀況上和前述的事物相似，因而拿來作比喻。
好生 , 形容愛惜生命，不忍殺害。
好生 , 表小心仔細。
好生 , 表超過平常的程度。
好發 , 形容疾病容易發作。
好萊塢 , 地方詞。位於美國加州洛杉磯西郊的一區。
好萊塢 , 形容具有好萊塢電影風格的。
好萊塢 , 普通名詞。指美國的電影工業。
好處 , 普通名詞。特定對象主觀認為的好處或正面的影響。
好處 , 普通名詞。特定對象的正面評價。
好 , 表動作完成。
好 , 表命令聽話者按照標準做事，多用於祈使句。
好 , 表容易，或物品的特定性質令人滿意。
好 , 表示同意或允許。
好 , 表示結束前一個話題，開始新的話題。
好 , 表說話者主觀評價程度高，帶有誇張語氣或情感。
好 , 評價前述命題達到標準。
好轉 , 形容情況往好的方面發展。
好 , 關聯連接詞。連接目的，表上文的敘述可以幫助達成目的的意思。
如何 , 表對事件的方式、性質或狀況的直接詢問。
如何 , 表對事件的方式、性質或狀況的間接詢問。
如何 , 表對事件的質問，並暗示與說話者的認知不同。
如同 , 引介相似的事件情況。
如同 , 引介與前述事物有共同點的後述事物作為譬喻。
如坐針氈 , 比喻擔心特定事物而感到著急不安的情緒。
如 , 引介例子。
如 , 引介相同的事件情況。
如 , 引介與前述事物有共同點的後述事物作為譬喻。
如果說 , 關聯連接詞。引出某種條件來比較。
如果說 , 關聯連接詞。連接假設條件。
如果 , 關聯連接詞。連接假設條件。
如此一來 , 句副詞。表前述事件，通常用於轉折語氣。
如此 , 代指事情的程度。
如此 , 代指前述事件。
如若 , 關聯連接詞。連接假設條件。
如 , 表譬喻事件情況。
如 , 關聯連接詞。連接假設條件。
妃 , 普通名詞。君王的妻子中位階次高的。
妃 , 普通名詞。太子或諸侯的妻子。
妃 , 普通名詞。接尾詞。民間對所信仰的女性神明的稱呼。
妒 , 因他人勝過自己而產生怨恨。
妖 , 形容發揮女性嬌豔特質而吸引人的。
妖 , 形容邪惡而迷惑人心的。
妖 , 普通名詞。相貌奇特能施法術害人的怪物。常用接尾詞。
妙 , 專有名詞。姓。
妙 , 形容令人感覺新奇美好、充滿趣味的。
妙 , 形容具有神奇效果的。
妙 , 形容掌握適當機會而能發揮最佳功能的。
妙 , 形容花費心思想出的，具有和他人不同的正面特質的。
妙 , 普通名詞。精微深奧的事理。
妝 , 普通名詞。以粉或口紅等修飾出的容貌。常用接尾詞。
妝 , 普通名詞。女子結婚時由娘家準備的陪嫁財物。
妞 , 普通名詞。年輕的女子。
妥協 , 比喻受外力影響而降低特定標準或原則。
妥協 , 為避免衝突或爭執，兩個特定對象協調並互相做出讓步。
妥善 , 形容適當且完善地做後述事件。
妥 , 專有名詞。姓。
妥 , 形容前述動作或事件做得周全。
妨害 , 對特定對象造成負面影響。
妨礙 , 妨礙特定事件進行使其不順利。
妳 , 代指單數的聽話者，用於女子。
妳們 , 代指複數的聽話者，用於女子。
妹妹 , 普通名詞。同父或同母生的女子，後出生者。
妹妹 , 普通名詞。同輩而年紀比自己小的女子。
妹妹 , 普通名詞。對同父或同母所生並比自己後出生的女子的指稱。
妹妹 , 普通名詞。年紀小的女性孩童。
妹妹 , 普通名詞。年輕的女子。
妹 , 普通名詞。同父或同母所生並比自己後出生的女子的指稱。
妹 , 普通名詞。同父或同母生的女子，後出生者。
妹 , 普通名詞。同輩而年紀比自己小的女性。
妹 , 普通名詞。年輕的女子。常用接尾詞。
妻子 , 普通名詞。對男子在婚姻關係中的配偶的指稱。
妻子 , 普通名詞。男子在婚姻關係中的配偶。
妻 , 普通名詞。對男子在婚姻關係中的配偶的指稱。
妻 , 普通名詞。男子在婚姻關係中的配偶。
妾 , 普通名詞。古代對女子的指稱。
妾 , 普通名詞。男子在婚姻關係中，除妻子以外另取娶的女子。
妾身 , 代指女性說話者自己。
姊姊 , 普通名詞。同父或同母生的女子，先出生者。
姊姊 , 普通名詞。同輩而年紀比自己大的女子。
姊姊 , 普通名詞。對同父或同母所生並比自己先出生的女子的指稱。
姊姊 , 普通名詞。稱呼女子的親暱用語。
姊 , 普通名詞。同父或同母生的女子，先出生者。
姊 , 普通名詞。同輩而年紀比自己大的女子。
姊 , 普通名詞。對同父或同母所生並比自己先出生的女子的指稱。
姊 , 普通名詞。接尾詞。稱呼女子的親暱用語。
始 , 事件或狀態從頭或特定時點起。
始終 , 表從開始到最後。
始 , 表因前述事情而導致後述事件。
始 , 表示事件時間範圍的開始參考點。
姐妹 , 普通名詞。來自同一個作者或出產者。
姐妹 , 普通名詞。同父或同母生的女子，先出生者為姐姐，後出生者為妹妹。
姐妹 , 普通名詞。對女性教友的稱呼。
姐妹 , 普通名詞。彼此交情親密的女性朋友。
姐妹 , 普通名詞。結盟的社團或組織。
姐妹 , 普通名詞。輩分相當或身分地位相近的女子。
姐 , 普通名詞。同父或同母生的女子，先出生者。
姐 , 普通名詞。同輩而年紀比自己大的女子。
姐 , 普通名詞。對同父或同母所生並比自己先出生的女子的指稱。
姐 , 普通名詞。稱呼女子的親暱用語。常用接尾詞。
姑 , 專有名詞。姓。
姑 , 普通名詞。女子對丈夫的母親的指稱。
姑 , 普通名詞。對丈夫的姊妹的指稱。
姑 , 普通名詞。對父親的姊妹的指稱。常用接尾詞。
姑 , 普通名詞。接尾詞。對成年女子的指稱，通常輩份或地位較高。
姑 , 普通名詞。父親的姊妹。
姑 , 表暫時退讓。
姓 , 前述對象的宗族是後述對象。
姓 , 普通名詞。宗族的專有名稱。
委任 , 經過正式程序，指定他人擔負職務或工作。
委員 , 普通名詞。特定團體中，接受法定委託，處理特定事物或議題的人。
委員會 , 地方詞。委員會的建築物及建築物所在的位置。
委員會 , 普通名詞。為處理特定事務或議題而由一群人組成的組織。
委托 , 具法律效應的代理行為。
委托 , 請求可信任的後述對象幫忙，並得到對方的承諾。
委由 , 經過正式程序，交給後述對象辦事情。
委託 , 具法律效應的代理行為。
委託 , 請求可信任的後述對象幫忙，並得到對方的承諾。
委請 , 委託後述對象做事。
姚 , 專有名詞。姓。
姜 , 專有名詞。姓。
姦 , 以暴力的方式強制發生性關係。
姦 , 發生不正當的性行為。
姨 , 普通名詞。對母親的姐妹的指稱。常用接尾詞。
姨 , 普通名詞。接尾詞。對與阿姨年紀相仿的一般年長女子的尊稱。
姨 , 普通名詞。母親的姐妹。
姪 , 普通名詞。兄弟姊妹的子女。
姪 , 普通名詞。對兄弟姊妹的子女的指稱。
姪 , 普通名詞。對朋友的子女的指稱。
姿 , 普通名詞。接尾詞。普通名詞。身體或身體特定部位進行特定事件時的姿態。
姿 , 普通名詞。特定事件的發展狀態。
姿 , 普通名詞。特定對象的外表形貌，常用接尾詞。
姿 , 普通名詞。觀察者認為前述對象擁有的風格氣勢。
威 , 主事者憑藉特定對象令他人服從。
威 , 專有名詞。姓。
威尼斯 , 地方詞。指位於美國南加州，介於聖塔摩尼卡市、洛杉磯市中心、洛杉磯國際機場之間，臨太平洋的城市。
威尼斯 , 地方詞。指位於義大利東北部，威尼斯灣內由島嶼組成的城市。
威尼斯 , 普通名詞。威尼斯的文化。
威廉 , 專有名詞。中世紀法國諾曼第公爵，以武力奪取英格蘭王位，建立諾曼第王朝。
威廉 , 專有名詞。外文名字。
威 , 強大且具破壞力的。
威 , 形容會讓人感到敬畏的。
威 , 普通名詞。令他人敬畏、信服的特質。
威 , 普通名詞。強大且具破壞性的力量。
威 , 普通名詞。特定對象比其他對象突出的特質或表現。
威脅 , 以令人恐懼的手段脅迫人。
威脅到 , 比喻前述對象對後述對象造成嚴重的負面影響。
威脅 , 比喻前述對象對後述對象造成嚴重的負面影響。
娃 , 普通名詞。人形或模擬人形的玩偶。
娃 , 普通名詞。尚未成年的人。常用接尾詞。
娃 , 普通名詞。幼小、尚未發育成熟的動物。常用接尾詞。
娃 , 普通名詞。接尾詞。有前述特質的年輕女子。
娘 , 形容特定物品具有強烈女性特質，不適合男子使用。
娘 , 形容男子具有明顯女性特質，通常帶有貶義。
娘 , 普通名詞。子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。
娘 , 普通名詞。對中老年女性僕人的稱呼。常用接尾詞。
娘 , 普通名詞。從事前述職業的女子。
娘 , 普通名詞。接尾詞。對具有前述國籍的女性配偶的指稱。「新娘」的簡省。
娘 , 普通名詞。接尾詞。對前述對象的妻子的尊稱。
娘 , 普通名詞。接尾詞。對已婚女子的指稱。
娘 , 普通名詞。接尾詞。對親屬中與母親同輩的已婚女子的稱呼。
娘 , 普通名詞。接尾詞。民間對所信仰的女性神明的稱呼。
娘 , 普通名詞。有子女的女子。
娛 , 使後述對象感到快樂、高興。
娛 , 普通名詞。快樂的感覺或事情。
娛 , 普通名詞。接尾詞。影片工業，包括週邊相關的所有活動，常出現在比喻的用法中，當作一個圈子或範圍。
娛樂 , 使人感到愉快的活動。
娛樂 , 快樂，使歡樂。
娶 , 男子結婚。
婆 , 普通名詞。女同性戀配偶中扮演比較接近傳統女性角色的女子。
婆 , 普通名詞。女子對丈夫的母親的指稱。
婆 , 普通名詞。女性配偶。
婆 , 普通名詞。對具有前述特質的女子的稱呼。
婆 , 普通名詞。對有孫子的女子的指稱。
婆 , 普通名詞。接尾詞。對從事前述職業的女子的稱呼。
婆 , 普通名詞。接尾詞。對有地位的女子的尊稱。
婆 , 普通名詞。接尾詞。對與祖母年紀相仿的一般年長女子的尊稱。
婆 , 普通名詞。接尾詞。對親屬中與祖母同輩的女子的稱呼。
婆 , 普通名詞。接尾詞。民間對所信仰的女性神明的稱呼。
婆 , 普通名詞。有孫子的女子。
婚 , 依據法定程序建立婚姻關係。
婚內 , 形容有婚姻關係的。
婚內 , 形容發生在有婚姻關係的兩個對象間的。
婚前 , 時間詞。結婚之前的時間。
婚外 , 形容與已婚者在婚姻關係之外所發展性關係相關的。
婚姻 , 普通名詞。依據法定程序所建立的婚姻關係。
婚後 , 時間詞。結婚之後的時間。
婚 , 普通名詞。依據法定程序所建立的婚姻關係。
婚生 , 形容在婚姻關係中出生的。
婦女 , 普通名詞。成年女子。
婦女運動 , 普通名詞。女子為爭取兩性平等而發起的運動。
婦 , 普通名詞。對男子在婚姻關係中的配偶的指稱。
婦 , 普通名詞。成年女子。
婦 , 普通名詞。接尾詞。從事前述勞動工作的女子。
婦運 , 普通名詞。女子為爭取兩性平等而發起的運動。「婦女運動」的簡省。
婿 , 普通名詞。女兒的丈夫。
婿 , 普通名詞。接尾詞。對女子在婚姻關係中的配偶的指稱。
婿 , 普通名詞。父母對女兒的丈夫的指稱。
媒體 , 普通名詞。對大眾傳遞消息、知識的工具，包括報紙、廣播、電視。
媒體 , 普通名詞。從事媒體工作的人或團體。
媒體 , 普通名詞。與大眾傳播相關的工業，包括週邊相關的所有活動，常出現在比喻的用法中，當作一個圈子或範圍。
媚 , 形容取悅、討好他人的。
媚 , 形容發揮女性嬌豔特質而吸引人的。
媳 , 普通名詞。兒子的妻子。
媳 , 普通名詞。父母對兒子的妻子的指稱。
媽呀 , 感嘆詞。表祈求或驚訝的語氣。
媽媽 , 普通名詞。子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。
媽媽 , 普通名詞。對與母親年紀相仿的一般年長女子的尊稱。
媽媽 , 普通名詞。接尾詞。對親屬中與母親同輩的已婚女子的稱呼。
媽媽 , 普通名詞。有子女的女子。
媽 , 普通名詞。子女對生育自己的女子的指稱，或指在家庭關係中扮演母親角色的女子。
媽 , 普通名詞。對中老年女性僕人的稱呼。常用接尾詞。
媽 , 普通名詞。接尾詞。在前述地點的寺廟中所供奉的媽祖。
媽 , 普通名詞。接尾詞。對與母親年紀相仿的一般年長女子的尊稱。
媽 , 普通名詞。接尾詞。對親屬中與母親同輩的已婚女子的稱呼。
媽 , 普通名詞。接尾詞。民間對所信仰的女性神明的稱呼。
媽 , 普通名詞。有子女的女子。
媽 , 普通名詞。有孫子的女子。
媽祖 , 專有名詞。中國東南沿海地區傳說中保佑漁民的女神。
媽祖 , 普通名詞。接尾詞。在前述地點的寺廟中所供奉的媽祖。
媽 , 表不滿的口頭禪。
嫁 , 女子結婚。
嫁 , 比喻前述機構被特定機構合併。
嫉 , 因他人勝過自己而產生怨恨。
嫉妒 , 因他人勝過自己而產生怨恨。
嫌 , 不滿意，具有消極肯定的意思，用於負面語境。常用「不嫌…」、「不會嫌….」，表示「不會不滿意」之意。
嫌 , 不滿意、厭惡。
嫌怨 , 形容因為對特定對象有不信任、責怪的負面經驗與感覺。
嫌惡 , 形容因為對特定對象有負面的經驗與感覺。
嫌憎 , 形容因為對特定對象有負面的經驗與感覺。
嫌 , 普通名詞。人與人之間的過節或怨恨。
嫌 , 普通名詞。「嫌犯」、「嫌疑犯」的簡省。
嫌 , 普通名詞。被懷疑有不好行為的可能性。
嫌疑 , 普通名詞。被懷疑有不好行為的可能性。
嫌隙 , 形容因為不信任或不滿而對後述對象感到負面情緒。
嫦娥 , 專有名詞。傳說中吃了不死之藥而飛到月亮。
